date,ndvi_sg,T2M,PPT,RAD,RH
2001-02-24,0.0986431810526419,24.4,0,21.26,26.79
2001-03-01,0.0986450046415656,25.45,8.88,17.25,31.41
2001-03-06,0.0986857777228607,24.58,0.7100000000000001,20.07,39.03
2001-03-11,0.098765500296527,26.05,0.39,16.94,35.08
2001-03-16,0.0988662191188751,28.6,1.19,22.35,23.6
2001-03-21,0.0990238406772841,28.39,3.0500000000000003,21.94,29.41
2001-03-26,0.0992563182154435,29.28,1.31,25.68,17.01
2001-03-31,0.0995816049770429,26.87,0,26.62,12.46
2001-04-05,0.100017654205772,29.93,0,25.56,12.18
2001-04-10,0.100364656552004,30.21,1.84,19.94,32.87
2001-04-15,0.100594592067245,28.6,17.880000000000003,20.59,54.98
2001-04-20,0.102064773059955,29.56,0,28.96,20.48
2001-04-25,0.106624155098153,33.4,0,27.79,14.04
2001-04-30,0.11579585176146,34.65,5.59,26.48,16.98
2001-05-05,0.130101349886781,35.13,0,27.75,16.99
2001-05-10,0.148526425307593,35.33,2.23,25.89,22.09
2001-05-15,0.169108690756804,33.02,5.18,24.69,33.52
2001-05-20,0.190363689463,33.8,6.5,25.39,34.07
2001-05-25,0.210824346990118,32.55,11.43,23.84,46.76
2001-05-30,0.229007554082917,29.23,16.02,21.87,63.41
2001-06-04,0.243112930108964,28.85,6,23.68,64.38
2001-06-09,0.251764602669902,27.19,87.04,17.21,78.93
2001-06-14,0.254734974499056,25.04,39.62,10.82,84.19
2001-06-19,0.253278720787783,25.43,33.29,17.05,85.07
2001-06-24,0.250316968334284,25.06,79.43,9.13,87.79
2001-06-29,0.24874615900486,25.73,48.83,16.63,87.45
2001-07-04,0.249961559303986,26.22,139.58,14.29,89.29
2001-07-09,0.25402063971707,23.65,126.27,5.87,91.19
2001-07-14,0.260114431455902,24.71,70.7,8.24,92.46
2001-07-19,0.267265212242175,24.32,72.17999999999999,10.36,94.43
2001-07-24,0.275177547903695,24.23,47.260000000000005,15.04,92.52
